name,number,href,items,notes,headers
"Israel's On Sale",1,http://www.bait-tov.com/store/proddet.php?SubCat=868&Mark=&Page=ALL,98,"We offer here 'one time' various Israel rare items in bargain prices
You pay the price quoted here, no second discount
Condition: Mint Never Hinged - MNH, Mint Hinged - MH
Condition Grade: VF, F, AVG, P
Catalogues: B-Bale©, C-Carmel©, S-Scott©",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;Status;Pic
"Sets, SS, FDC",2,http://www.bait-tov.com/store/proddet.php?SubCat=6&Mark=&Page=ALL,1134,"First column Mint stamps with full tabs VF NH, S/S have no tabs.
Used stamps without tabs VF.
FDC exist to 1956 item 66 in two forms, no tabs IPS issue and tabs not IPS issue, later on tabs only IPS issue.
Prices here for FDC to item 66 no tabs and from item 67 tabs only.
For tabs FDC's before 1956, contact us. FDC's of S/S issued by IPS exist from 1995 and before also for 'TAVIV' and 'TABIL' S/S.
'Other' column for mint without tabs VF NH.
Prices for used with tabs are half price of mint with tabs until the end of 1955 (except Doar Ivri) and from 1956 equal to mint with tabs, contact us.
Catalogues: C-Carmel©, S-Scott©.
Up to the end of 1999, the Israel Postal Authority have issued 1549 stamps (normally issued) including the stamps on S/S. Here the list contains in total 1559, 10 identical stamps: 1949 Tabul 3, 1976 Purim 3 and 1980 Magen David Adom 4. 2480 diff. stamps were issued to the end of 2017 (or 2523 with sheets: Halbanon, Memorial Day, Animation).
You will find here complete Israel stamps catalogue (Colors, Prices, According leaflet order): Definitive issue, Commemorative issue, Air Mail, Souvenir Sheet, Joint issue.",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;PriceUsed;BuyUsed;OldPriceUsed;PriceFDC;BuyFDC;OldPriceFDC;PriceOther;BuyOther;OldPriceOther;Status;Pic
Booklets,3,http://www.bait-tov.com/store/proddet.php?SubCat=856&Mark=&Page=ALL,154,"All Mint Never Hinged
From 1951 Booklets have FDC's not IPS issue
FDC's with minor differences as face direction or Phosphor location we don't list
You will find here complete Booklets list with all varieties in Chronological order
Catalogues: B-Bale©, C-Carmel©, S-Scott©",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;PriceFDC;BuyFDC;OldPriceFDC;Status;Pic
"Cancellations, Event",4,http://www.bait-tov.com/store/proddet.php?SubCat=781&Mark=&Page=ALL,3343,"All events cancellations are regular 'Commemorative Cancel' type, otherwise written at the end in ( ).
All First Day events cancellations comes on plain cover with Definitive stamp.
The listed date is the day or days of the event, the location where the event took place appears at the end.
You will find here complete Events Cancellations in Chronological order, pictures show only the cancel area.
Cancels (1956 onwards) written in grey color haven't been sent to IPS subscribers.
Annual Event sets include only the cancels which have been sent to subscribers.",ItemCode;Description;Price;Buy;OldPrice;Status;Pic
"Cancellations, Post Offices",5,http://www.bait-tov.com/store/proddet.php?SubCat=783&Mark=&Page=ALL,5889,"This is a regular postmarks catalog, to 1990 based on a I. Nachtigal & B. Fixler catalog and then on Public Notifications. Including photos, Source Documents and Location. For West Bank & Gaza Strip see separate category.
All Post Offices cancellations are 'Settlements Cancel' type, otherwise written at the end in ( ).
The Date is the first day to use the Postmark, Stag or Magen David symbol if appears noting that.
The date 1.7.48 in the Cancels that in status 'unavailable' not certainly, date parenthetically marks the early to known.
You will find here about all Postmarks in Ascending names order (according to Hebrew).
Pictures show only the cancel area. Price and Selling are first day.
The underline name (if appear) is the recent settlement name. Sites type Cancellations were used the Tourists points.
Cancels written in grey color haven't been sent to IPS subscribers.
Cancels written in brown color have been sent to IPS subscribers by request only - limited edition in 1961.
New Year Triangular Postmarks 1948-1955 written in blue color.
PAYE(paid) Postmarks written in green color.
Cancels marked * sent to subscribers bearing wrong Hebrew date or one day differ.
Catalog 1 column = Postmark Type: Types D,F,G,X3,X8 are Machine postmarks, the rest A,B,C,E,X Hand postmarks C5-C9,E3,X11 with rotate date (C5-C7,C8a trial), beneath registration label #. For illustration click here
Catalog 2 column = Last Day Date, in parenthesis - not sure. Online All Israel Postmarks Catalogue 1948-2017 Registered Labels",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;Status;Pic
"Cancellations, Post Offices-Subscribers by Date",6,http://www.bait-tov.com/store/proddet.php?SubCat=1164&Mark=&Page=ALL,979,"List of all Settlements Cancellations have been sent to IPS subscribers sort by Date order.
The underline name (if appear) is the recent settlement name. Sites type Cancellations were used the Tourists points.
Cancels written in brown have been sent to IPS subscribers by request only - limited edition in 1961 and 1994 (last day).
Cancels written in purple belongs to West Bank & Gaza.
Cancels marked * sent to subscribers bearing wrong Hebrew date or one day differ.
This list is use for orientation only, for buying use the appropriate sub category.",ItemCode;Description;Status;Pic
"Cancellations, Slogan",7,http://www.bait-tov.com/store/proddet.php?SubCat=782&Mark=&Page=ALL,296,"Slogan cancellations exist to the 80' years, first were in use in the three Main Cities and from 1956 in many other too, the underlined city have been sent to subscribers.
Cancels written in grey color haven't been sent to IPS subscribers.
All First Day Slogan cancellations comes on cover with dated Definitive stamp.
Many were put in use again later causing additional F.D. cancel dates.
You will find here complete Slogan Cancellations in Chronological order, the pictures show only the Cancel area. Online All Israel Postmarks Catalogue 1948-2017",ItemCode;Description;Price;Buy;OldPrice;Status;Pic
"Cancellations, W. Bank & Gaza",8,http://www.bait-tov.com/store/proddet.php?SubCat=784&Mark=&Page=ALL,333,"This category includes the Settlements cancels in West Bank & Gaza strip, for the Mil. Adm. Commemoratives cancels see under Events category.
The Date is the first day to use the Postmark, Stag symbol if appear noting that.
Cancels written in grey color haven't been sent to subscribers.
Cancels written in brown color have been sent to IPS subscribers by request only - limited edition in 1994.
You will find here about 98% of all West Bank & Gaza Cancellations in ascending names order (according to Hebrew).
Pictures show only the cancel area. Price and Selling are first day.
The underline name (if appear) is the recent or the newer settlement name.
Cancels marked * sent to subscribers bearing wrong Hebrew date.
Catalog 1 column = Postmark Type: All are Hand postmarks C8,C9 with rotate date, beneath registration label #. For illustration click here
Catalog 2 column = Last Day Date.
Military Settlements Cancels exist from 1956 (Sinai Campaign) and then from 1967 to 1995. Online All Israel Postmarks Catalogue 1948-2017 Registered Labels",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;Status;Pic
"Covers, Cachets",9,http://www.bait-tov.com/store/proddet.php?SubCat=877&Mark=&Page=ALL,3929,"Here we list various Events Covers not Philatelic Services issues or a joint creation in chronological order: Events, Post Offices, Territories, Flights, Cruises, Slogen, Stamps
Some minor different could be between the picture and the actual existing item, condition vary
Since most of them are private issues, usually there are more than one for every event, we try to show some of which accepted in catalogs (Simon's, Mosden). Large masses are in the early years of the state and gradually decrease to date, you will find here almost all of them to end of 2006.
Collecting Cancels chronologically is a time travel into the history of Israel since its establishment, if you like convince show click here. Unfortunately the first half year almost covers were not issued, as an example just a bit of older settlements have post opening covers, still did not have time for fun.
Catalogues: S-Simon's©, M-Mosden©, G-Gershon's©",ItemCode;Description;Catalog1;Catalog2;Price;Buy;OldPrice;Status;Pic
"Exhibition Show Cards",10,http://www.bait-tov.com/store/proddet.php?SubCat=867&Mark=&Page=ALL,37,"Exhibition Show Cards issued between 1981-97 by the Philatelic Services
Any card can be with the event cancel on stamp (right column) or without stamp at all (left column)
Catalogues: C-Carmel©",ItemCode;Description;Catalog1;Price;Buy;OldPrice;PriceUsed;BuyUsed;OldPriceUsed;Status;Pic
