code,descr,status,picref,catalog1,catalog2,price1,price2,price3,price4,buy1,buy2,buy3,buy4,oldprice1,oldprice2,oldprice3,oldprice4,catgDisplayNum,info
6110o1u,"Used Doar Ivri 3-50 plus 2 error tab stamps (10 four rows, 15 five rows) all VF","Sold Out",pic.php?ID=6110o1u,"C 1-6,3E,4E","S 1-6",110.00,,,,,,,,,,,,1,
6110o1,"1948 Doar Ivri 3-50 (3,5,10,20 tab 15,50 no tab), 3,5 no gum 10,20 stain","Sold Out",pic.php?ID=6110o1,"C 1-6","S 1-6",20.00,,,,,,,,,,,,1,
6110o2,"1948 Doar Ivri 250-1000 used Fine for postally used stamps","! NEW ! 1 Commision",pic.php?ID=6110o2,"C 7-9","S 7-9",105.00,,,,cart2.php?Action=Add&Prod=6110o2&Which=Price,,,,,,,,1,
6110o2A,"1948 Doar Ivri 250-1000 used VF","Sold Out",pic.php?ID=6110o2A,"C 7-9","S 7-9",190.00,,,,,,,,,,,,1,
6110o4,"1948 Postage Due (Coins) no tabs FU","Sold Out",pic.php?ID=6110o4,"C 10-14","S J1-J5",45.00,,,,,,,,,,,,1,
6110o5,"1948 New Year 5709 Festivals (Scrolls) MH VF tabed","Sold Out",pic.php?ID=6110o5,"C 15-19","S 10-14",150.00,,,,,,,,,,,,1,
6110o6,"1948 Festivals horizontal TB (10) MNH AV, 20 stain, 65 crease","Sold Out",pic.php?ID=6110o6,"C 15a-19a","S 2x 10-14",25.00,,,,,,,,,,,,1,
6110o8,"1949 Jerusalem (Migdal David) MNH VF tabed","Sold Out",pic.php?ID=6110o8,"C 20","S 24",30.00,,,,,,,,,,,,1,
6110o9,"1949 Flag no gum Right & Left tab","Sold Out",pic.php?ID=6110o9,"C 21","S 15",40.00,,,,,,,,,,,,1,
6110o10,"1949 TABUL - Souvenir Sheet (Coins) MH AVG","Sold Out",pic.php?ID=6110o10,"C B1","S 16",25.00,,,,,,,,,,,,1,
6110o10a,"1949 TABUL - Souvenir Sheet (Coins) MNH F","Sold Out",pic.php?ID=6110o10a,"C B1","S 16",60.00,,,,,,,,,,,,1,
6110o10f,"1949 TABUL - Souvenir Sheet (Coins) MNH not Original","Sold Out",pic.php?ID=6110o10f,"C B1","S 16",5.00,,,,,,,,,,,,1,
6110o10b,"1949 TABUL - FDC F","Sold Out",pic.php?ID=6110o10b,"B B1","S 16",18.00,,,,,,,,,,,,1,
6110o10fc,"1949 Tabul Souvenir Sheet FDC VF 1.5.1949","Sold Out",pic.php?ID=6110o10fc,"C B1","S 16",20.00,,,,,,,,,,,,1,
6110o10u,"1949 TABUL - used VF","Sold Out",pic.php?ID=6110o10u,"B B1","S 16",25.00,,,,,,,,,,,,1,
6110o11,"1949 Petah-Tiqwa MNH VF pair left tabed","Sold Out",pic.php?ID=6110o11,"C 23","S 27",75.00,,,,,,,,,,,,1,
6110o11c,"1949 Petah-Tiqwa MNH VF corner pair left tabed","Sold Out",pic.php?ID=6110o11c,"C 23","S 27",75.00,,,,,,,,,,,,1,
6110o13,"1949 Coins 'Mered' MNH VF","Sold Out",pic.php?ID=6110o13,"C 33-38","S 17-22",50.00,,,,,,,,,,,,1,
6110o14,"1950 First Coins TB (8) + TB gutter (8) MNH VF","Sold Out",pic.php?ID=6110o14,"C 34TB -37TB, 34TBG -37TBG","S 4x 18-21",70.00,,,,,,,,,,,,1,
6110o16s,"1950 UPU (80 Prutot) MNH F tabed","Sold Out",pic.php?ID=6110o16s,"C 40","S 32",18.00,,,,,,,,,,,,1,
6110o17,"1950 UPU TB (2) + TB gutter (4) MNH F","Sold Out",pic.php?ID=6110o17,"C 39/40TB, 39TBG, 40TBG","S 2x32b",65.00,,,,,,,,,,,,1,
6110o18,"1950 2nd Independence (Ships) no tabs MNH VF","Sold Out",pic.php?ID=6110o18,"C 41,42","S 33,34",6.80,,,,,,,,,,,,1,
6110o19,"1950 University MNH F","Sold Out",pic.php?ID=6110o19,"C 43","S 23",15.00,,,,,,,,,,,,1,
6110o20,"1950 Air Mail (Birds) no tabs MNH VF","Sold Out",pic.php?ID=6110o20,"C 44-49","S C1-C6",11.00,,,,,,,,,,,,1,
6110o21,"1950 New Year 5711 Festivals (Four Species) tabed MNH VF with sheet number","Sold Out",pic.php?ID=6110o21,"C 50-51","S 35-36",35.00,,,,,,,,,,,,1,
6110o21p,"1950 New Year 5711 Festivals (Four Species) MNH VF tabed pair with sheet number","Sold Out",pic.php?ID=6110o21p,"C 2x50-51","S 2x35-36",38.00,,,,,,,,,,,,1,
6110o24,"1953 Second Coins TB (12) + TB gutter (12) MNH VF","Sold Out",pic.php?ID=6110o24,"C 54TB -62TB, 54TBG -62TBG","S 2x39a-42a, 2x56a,59a",20.00,,,,,,,,,,,,1,
6110o24r,"1953 Second Coins TB + TB gutter, full rows with sheets serial numbers (54) MNH VF","Sold Out",pic.php?ID=6110o24r,"C 54TB -62TB, 54TBG -62TBG","S 2x39a-42a, 2x56a,59a",35.00,,,,,,,,,,,,1,
6110o25,"1950 Negev (Camels) no tab MNH VF","Sold Out",pic.php?ID=6110o25,"C 69","S 25",5.00,,,,,,,,,,,,1,
6110o27,"1951 Tel Aviv 40th Anniversary MNH VF tabed","In Stock",pic.php?ID=6110o27,"C 74","S 44",18.00,,,,cart2.php?Action=Add&Prod=6110o27&Which=Price,,,,,,,,1,
6110o27A,"1951 Tel Aviv 40th Anniversary MNH with small hole in the tab","In Stock",pic.php?ID=6110o27A,"C 74","S 44",5.00,,,,cart2.php?Action=Add&Prod=6110o27A&Which=Price,,,,,,,,1,
6110o29,"1951 3rd Independence MNH with small tab fault","Sold Out",pic.php?ID=6110o29,"C 76-77","S 46-47",7.00,,,,,,,,,,,,1,
6110o30,"1951 J.N.F. tabs MNH VF","Sold Out",pic.php?ID=6110o30,"C 78-80","S 48-50",60.00,,,,,,,,,,,,1,
6110o33,"1952 Menorah MNH tabed fault with the gum","Sold Out",pic.php?ID=6110o33,"C 85","S 55",80.00,,,,,,,,,,,,1,
6110o35,"1952 'Taba' MNH VF tabed","Sold Out",pic.php?ID=6110o35,"C 86-87","S C7-8",13.00,,,,,,,,,,,,1,
6110o36,"1952 4th Independence Day MNH F tabed","Sold Out",pic.php?ID=6110o36,"C 88-90","S 62-64",19.00,,,,,,,,,,,,1,
6110o37,"1952 America Zionist House MNH F tabed","Sold Out",pic.php?ID=6110o37,"C 91","S 65",14.00,,,,,,,,,,,,1,
6110o38,"1952 Festivals 5713 MNH F tabed","Sold Out",pic.php?ID=6110o38,"C 92-95","S 66-69",28.00,,,,,,,,,,,,1,
6110o39,"1952 Postage Due MNH VF tabed","Sold Out",pic.php?ID=6110o39,"C 96-104","S J12-J20",7.50,,,,,,,,,,,,1,
6110o40,"1952 Chaim Weizmann First President MNH VF tabed","Sold Out",pic.php?ID=6110o40,"C 105-106","S 70-71",10.00,,,,,,,,,,,,1,
6110o42,"1953 Yafo (Air Mail 2) MH VF tabed","Sold Out",pic.php?ID=6110o42,"C 115","S C16",40.00,,,,,,,,,,,,1,
6110o4269,"1953-56 Air Mail 2 (Landscapes) MNH VF tabed","Sold Out",pic.php?ID=6110o4269,"C 108-16","S C9-17",100.00,,,,,,,,,,,,1,
6110o101,"1960 TAVIV Souvenir Sheet MNH VF","4 In Stock",pic.php?ID=6110o101,"C B3","S 187a",10.00,,,,cart2.php?Action=Add&Prod=6110o101&Which=Price,,,,,,,,1,
6110o128,"1963 Freedom From Hunger - Full TB sheet MNH F","1 In Stock",pic.php?ID=6110o128,"C 299F","S 237",350.00,,,,cart2.php?Action=Add&Prod=6110o128&Which=Price,,,,,,,,1,
6110o128A,"1963 Freedom From Hunger - Full TB sheet MNH F (crease)","! NEW ! 1 In Stock",pic.php?ID=6110o128A,"C 299F","S 237",250.00,,,,cart2.php?Action=Add&Prod=6110o128A&Which=Price,,,,,,,,1,
6110o129,"1963 Freedom From Hunger - Heart TB MNH VF","1 In Stock",pic.php?ID=6110o129,"C 299H","S 237",100.00,,,,cart2.php?Action=Add&Prod=6110o129&Which=Price,,,,,,,,1,
6110o129r,"1963 Freedom From Hunger - Heart TB, full rows MNH VF","1 In Stock",pic.php?ID=6110o129r,"C 299H","S 237",125.00,,,,cart2.php?Action=Add&Prod=6110o129r&Which=Price,,,,,,,,1,
6110o130,"1963 Freedom From Hunger - pair with gutter MNH VF","! NEW ! 1 In Stock",pic.php?ID=6110o130,"C 299G","S 237",35.00,,,,cart2.php?Action=Add&Prod=6110o130&Which=Price,,,,,,,,1,
