id,description,status,pictid,pictype,group,cat1,cat2,price1,price2,price3,price4,buy1,buy2,buy3,buy4,oldprice1,oldprice2,oldprice3,oldprice4,CatgDisplayNum
6110s1,1948 Doar Ivri 3-50,Available,6110s1,0,"Sets, SS, FDC",C 1-6,S 1-6,355.00,1.80,11.00,20.50,1,1,1,1,,,,,2
6110s2,1948 Doar Ivri 250-1000,Available,6110s2,0,"Sets, SS, FDC",C 7-9,S 7-9,7000.00,216.00,270.00,500.00,1,1,1,1,,,,,2
6110s4,1948 Postage Due (Coins 5),Available,6110s4,0,"Sets, SS, FDC",C 10-14,S J1-J5,2850.00,86.00,----,105.00,1,1,0,1,,,,,2
6110s5,1948 Festivals 5709 (Scrolls),In Stock,6110s5,0,"Sets, SS, FDC",C 15-19,S 10-14,285.00,6.90,5.50,16.00,1,1,1,1,,,,,2
6110s8,1949 Jerusalem (Migdal David),In Stock,6110s8,0,"Sets, SS, FDC",C 20,S 24,35.00,1.30,3.00,1.13,1,1,1,1,,,,,2
6110s9,1949 Flag,In Stock,6110s9,0,"Sets, SS, FDC",C 21,S 15,56.00,0.65,0.70,0.65,1,1,1,1,,,,,2
6110s10,1949 TABUL - Souvenir Sheet,In Stock,6110s10,0,"Sets, SS, FDC",C B1,S 16,125.00,39.00,32.50,125.00,1,1,1,1,,,,,2
6110s11,1949 Petah-Tiqwa,In Stock,6110s11,0,"Sets, SS, FDC",C 23,S 27,100.00,1.50,6.25,6.25,1,1,1,1,,,,,2
6110s12,1949 Festivals 5710 (Emblems),In Stock,6110s12,0,"Sets, SS, FDC",C 24-26,S 28-30,675.00,5.60,3.50,7.50,1,1,1,1,,,,,2
6110s13,1949 Coins Mered (6),In Stock,6110s13,0,"Sets, SS, FDC",C 33-38,S 17-22,80.00,0.86,5.75,1.50,1,1,1,1,,,,,2
6110s15,1949 Postage Due Numbers (6),In Stock,6110s15,0,"Sets, SS, FDC",C 27-32,S J6-J11,140.00,1.35,----,1.50,1,1,0,1,,,,,2
6110s16,1950 UPU (Running Stag),In Stock,6110s16,0,"Sets, SS, FDC",C 39-40,S 31-32,77.50,1.62,3.50,1.50,1,1,1,1,,,,,2
6110s18,1950 2nd Independence (Ships),In Stock,6110s18,0,"Sets, SS, FDC","C 41,42","S 33,34",500.00,8.20,7.00,11.00,1,1,1,1,,,,,2
6110s19,1950 University,In Stock,6110s19,0,"Sets, SS, FDC",C 43,S 23,23.00,0.26,3.75,0.25,1,1,1,1,,,,,2
